iter	Passed	Remaining
0	225	225039
1	237	118269
2	251	83570
3	263	65667
4	277	55153
5	284	47163
6	295	41883
7	303	37674
8	314	34578
9	321	31835
10	332	29891
11	346	28506
12	356	27069
13	366	25839
14	376	24748
15	384	23663
16	396	22910
17	409	22337
18	419	21680
19	432	21171
20	443	20666
21	451	20063
22	461	19597
23	468	19071
24	477	18636
25	486	18234
26	497	17927
27	507	17607
28	515	17244
29	524	16966
30	532	16654
31	541	16386
32	549	16093
33	561	15947
34	627	17302
35	648	17369
36	658	17132
37	667	16895
38	675	16643
39	685	16454
40	693	16228
41	703	16051
42	711	15842
43	726	15780
44	737	15651
45	744	15449
46	757	15357
47	769	15267
48	783	15214
49	794	15097
50	808	15048
51	821	14977
52	835	14924
53	853	14954
54	870	14957
55	883	14884
56	894	14800
57	906	14727
58	916	14623
59	929	14566
60	940	14479
61	950	14378
62	959	14266
63	969	14176
64	978	14072
65	991	14025
66	999	13916
67	1010	13843
68	1021	13785
69	1030	13694
70	1040	13618
71	1049	13521
72	1058	13443
73	1068	13371
74	1078	13295
75	1089	13242
76	1102	13220
77	1111	13137
78	1121	13079
79	1129	12994
80	1139	12933
81	1148	12855
82	1157	12783
83	1167	12732
84	1175	12656
85	1187	12617
86	1199	12585
87	1208	12523
88	1219	12480
89	1227	12408
90	1238	12367
91	1251	12350
92	1261	12299
93	1274	12286
94	1287	12268
95	1307	12316
96	1332	12408
97	1342	12354
98	1351	12299
99	1359	12238
100	1370	12198
101	1378	12133
102	1388	12089
103	1398	12051
104	1408	12007
105	1419	11971
106	1427	11915
107	1437	11873
108	1446	11827
109	1455	11779
110	1467	11753
111	1480	11741
112	1491	11709
113	1505	11703
114	1517	11676
115	1525	11626
116	1535	11592
117	1543	11539
118	1553	11498
119	1562	11461
120	1571	11415
121	1581	11383
122	1589	11331
123	1600	11307
124	1608	11259
125	1617	11219
126	1625	11174
127	1634	11137
128	1642	11090
129	1651	11051
130	1658	11002
131	1668	10970
132	1675	10922
133	1684	10887
134	1692	10841
135	1703	10824
136	1717	10818
137	1728	10798
138	1745	10812
139	1756	10790
140	1770	10786
141	1781	10764
142	1789	10726
143	1801	10706
144	1808	10663
145	1818	10635
146	1828	10608
147	1835	10568
148	1846	10546
149	1854	10506
150	1863	10479
151	1871	10440
152	1884	10434
153	1895	10411
154	1903	10378
155	1914	10356
156	1922	10321
157	1931	10294
158	1938	10253
159	1948	10229
160	1955	10190
161	1966	10174
162	1975	10142
163	1982	10108
164	1991	10077
165	2000	10050
166	2011	10034
167	2019	10001
168	2031	9988
169	2040	9964
170	2048	9931
171	2058	9911
172	2066	9880
173	2076	9857
174	2083	9822
175	2093	9802
176	2101	9769
177	2109	9743
178	2117	9711
179	2128	9695
180	2135	9665
181	2146	9645
182	2154	9617
183	2169	9623
184	2182	9612
185	2196	9610
186	2207	9595
187	2215	9571
188	2224	9546
189	2232	9515
190	2240	9491
191	2248	9462
192	2259	9448
193	2266	9417
